Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Rolling Mean,Bollinger High,Bollinger Low,Bollinger Middle
TATAPOWER,EQ,2017-09-08,77.35,77.55,78.3,76.75,76.95,77.0,77.35,1894241,146528161.75,11215,635218,33.53,78.57857142857141,80.79102370036077,76.36611915678205,78.57857142857141
TATAPOWER,EQ,2017-09-11,77.0,78.0,81.0,77.9,80.9,80.6,79.58,7804066,621019567.75,32619,2079790,26.65,78.60714285714282,80.91793930421059,76.29634641007505,78.60714285714282
TATAPOWER,EQ,2017-09-12,80.6,81.2,81.8,80.7,80.8,81.0,81.26,5963630,484632706.0,18910,2100332,35.22,78.67499999999997,81.21294283744817,76.13705716255177,78.67499999999997
TATAPOWER,EQ,2017-09-13,81.0,85.0,86.7,83.5,85.05,84.8,85.33,31484628,2686671501.4,93698,9950599,31.6,79.10714285714282,83.25180710871282,74.96247860557281,79.10714285714282
TATAPOWER,EQ,2017-09-14,84.8,85.05,87.3,84.75,85.05,85.25,85.8,15122422,1297525314.8,67103,6247594,41.31,79.5428571428571,84.83157621750551,74.25413806820869,79.5428571428571
TATAPOWER,EQ,2017-09-15,85.25,84.95,84.95,83.8,84.25,84.3,84.27,6486746,546621833.0,29952,3116859,48.05,79.93214285714282,85.77450896671196,74.08977674757368,79.93214285714282
TATAPOWER,EQ,2017-09-18,84.3,85.0,85.25,83.35,83.6,83.7,84.4,3959456,334187446.75,19389,1816734,45.88,80.41428571428568,86.31036375513085,74.51820767344051,80.41428571428568
TATAPOWER,EQ,2017-09-19,83.7,83.8,85.65,82.5,84.45,84.6,84.28,6973722,587723844.3,23332,2702922,38.76,80.91071428571423,86.97221683762439,74.84921173380408,80.91071428571423
TATAPOWER,EQ,2017-09-20,84.6,86.0,86.2,83.75,83.9,84.0,84.76,6704318,568279112.9,32599,2579071,38.47,81.24999999999996,87.44143328752283,75.05856671247709,81.24999999999996
TATAPOWER,EQ,2017-09-21,84.0,83.9,84.4,82.85,82.95,83.1,83.43,3563888,297344188.45,12932,1402870,39.36,81.46428571428567,87.69182116598707,75.23675026258427,81.46428571428567
TATAPOWER,EQ,2017-09-22,83.1,82.9,82.9,80.1,80.4,80.4,81.37,3947805,321224967.15,18961,1682610,42.62,81.60357142857139,87.62449191604533,75.58265094109744,81.60357142857139
TATAPOWER,EQ,2017-09-25,80.4,81.7,82.5,80.35,82.0,81.85,81.69,9668182,789811489.8,42197,2878368,29.77,81.85357142857139,87.57579050938183,76.13135234776094,81.85357142857139
TATAPOWER,EQ,2017-09-26,81.85,82.9,82.9,79.65,79.85,79.95,80.68,7178936,579196245.25,33449,2294675,31.96,81.9928571428571,87.39710862349104,76.58860566222317,81.9928571428571
TATAPOWER,EQ,2017-09-27,79.95,80.35,80.5,77.8,78.3,78.15,79.24,5905731,467949317.45,24369,2366072,40.06,82.04999999999997,87.2560615558286,76.84393844417134,82.04999999999997
TATAPOWER,EQ,2017-09-28,78.15,78.5,78.75,76.85,77.95,77.25,77.34,42574215,3292629764.35,57890,24641636,57.88,82.06785714285711,87.20049885926502,76.93521542644919,82.06785714285711
TATAPOWER,EQ,2017-09-29,77.25,77.95,78.65,77.15,78.0,77.8,77.78,7966435,619596227.6,31378,4104051,51.52,81.86785714285712,87.44578164559482,76.28993264011942,81.86785714285712
TATAPOWER,EQ,2017-10-03,77.8,79.2,79.55,77.1,77.35,77.4,78.15,8461033,661268199.75,53177,4389732,51.88,81.61071428571427,87.67196302370021,75.54946554772832,81.61071428571427
TATAPOWER,EQ,2017-10-04,77.4,77.45,78.4,77.35,78.4,78.0,77.81,4682880,364396929.95,36432,2376610,50.75,81.12499999999999,87.17514303708853,75.07485696291144,81.12499999999999
TATAPOWER,EQ,2017-10-05,78.0,78.4,79.2,78.3,79.05,78.95,78.92,3315187,261639098.85,21987,1875657,56.58,80.67499999999998,86.32760321240782,75.02239678759214,80.67499999999998
TATAPOWER,EQ,2017-10-06,78.95,79.45,80.9,79.4,80.65,80.65,80.47,7199557,579356297.2,25150,4451297,61.83,80.41428571428571,85.6693826644898,75.15918876408162,80.41428571428571
TATAPOWER,EQ,2017-10-09,80.65,80.35,82.05,80.25,81.5,81.45,81.21,6239160,506686657.3,23007,2740654,43.93,80.25357142857142,85.20463414055786,75.30250871658498,80.25357142857142
TATAPOWER,EQ,2017-10-10,81.45,81.75,82.1,81.25,81.55,81.55,81.67,3898379,318375934.75,22834,1968033,50.48,80.03571428571429,84.39610039625171,75.67532817517687,80.03571428571429
TATAPOWER,EQ,2017-10-11,81.55,81.75,82.55,80.45,80.75,81.0,81.33,5318204,432511918.0,18911,2805015,52.74,79.82142857142857,83.59842662354812,76.04443051930902,79.82142857142857
TATAPOWER,EQ,2017-10-12,81.0,81.0,82.1,80.45,81.7,81.7,81.34,4280242,348142916.05,24164,1999686,46.72,79.72142857142858,83.18568879564666,76.2571683472105,79.72142857142858
TATAPOWER,EQ,2017-10-13,81.7,82.6,82.6,81.4,81.6,81.65,81.75,2469408,201873523.8,17298,966325,39.13,79.8107142857143,83.41203425129721,76.20939432013138,79.8107142857143
TATAPOWER,EQ,2017-10-16,81.65,82.0,82.25,81.35,81.85,81.95,81.78,2578188,210846406.35,16206,1577143,61.17,79.81785714285716,83.43695332047635,76.19876096523798,79.81785714285716
TATAPOWER,EQ,2017-10-17,81.95,81.95,82.1,81.5,81.9,81.6,81.67,3977209,324815180.95,24058,2897281,72.85,79.9357142857143,83.67869306068627,76.19273551074232,79.9357142857143
TATAPOWER,EQ,2017-10-18,81.6,81.8,82.1,81.05,81.9,81.9,81.72,3092776,252727313.15,36546,1853245,59.92,80.20357142857144,83.93276277950378,76.4743800776391,80.20357142857144
TATAPOWER,EQ,2017-10-19,81.9,82.55,82.55,81.05,81.4,81.5,81.82,536886,43927603.7,3708,288876,53.81,80.50714285714287,83.87505870271525,77.13922701157048,80.50714285714287
TATAPOWER,EQ,2017-10-23,81.5,82.0,82.05,81.2,81.7,81.75,81.63,1906801,155650873.05,20520,1069441,56.09,80.78928571428573,83.82577624206199,77.75279518650946,80.78928571428573
TATAPOWER,EQ,2017-10-24,81.75,82.0,82.5,81.55,82.05,82.15,82.08,1983329,162782346.1,11451,1003605,50.6,81.12857142857145,83.52847985173274,78.72866300541016,81.12857142857145
TATAPOWER,EQ,2017-10-25,82.15,82.5,83.8,81.85,82.3,82.25,82.56,6803458,561677104.1,21906,3837791,56.41,81.43214285714286,83.08678999259416,79.77749572169157,81.43214285714286
TATAPOWER,EQ,2017-10-26,82.25,82.7,83.3,82.0,82.15,82.15,82.47,7214920,595013700.15,23141,4143221,57.43,81.6607142857143,82.54142952951294,80.77999904191567,81.6607142857143
TATAPOWER,EQ,2017-10-27,82.15,82.5,85.7,82.35,85.35,85.1,84.65,7554777,639476405.4,31799,2876236,38.07,81.97857142857143,83.89317694556811,80.06396591157474,81.97857142857143
TATAPOWER,EQ,2017-10-30,85.1,86.0,87.45,85.35,86.0,85.95,86.39,5887950,508667590.55,20566,2613430,44.39,82.3,85.1262505741162,79.4737494258838,82.3
TATAPOWER,EQ,2017-10-31,85.95,86.35,86.35,84.6,85.15,84.9,85.23,3517881,299843324.9,18834,1669624,47.46,82.53928571428573,85.64540339283025,79.4331680357412,82.53928571428573
TATAPOWER,EQ,2017-11-01,84.9,85.7,86.2,84.4,85.05,85.2,85.21,3999344,340792119.5,11380,1880084,47.01,82.83928571428574,86.11182379573036,79.56674763284111,82.83928571428574
TATAPOWER,EQ,2017-11-02,85.2,85.2,85.7,84.05,84.8,84.8,84.91,3855149,327349052.75,17900,1597903,41.45,83.0607142857143,86.41955533387554,79.70187323755306,83.0607142857143
TATAPOWER,EQ,2017-11-03,84.8,85.95,88.5,83.7,84.25,84.5,86.31,23606567,2037439595.6,79846,5765124,24.42,83.26428571428572,86.60020412581069,79.92836730276075,83.26428571428572
TATAPOWER,EQ,2017-11-06,84.5,84.45,86.45,83.75,85.25,85.45,85.46,9048909,773364294.8,36533,3454251,38.17,83.51428571428572,86.94904661099775,80.07952481757368,83.51428571428572
TATAPOWER,EQ,2017-11-07,85.45,86.0,86.4,82.45,83.1,83.05,84.05,8529822,716962929.5,22603,4072701,47.75,83.61785714285715,86.8874388951864,80.34827539052789,83.61785714285715
TATAPOWER,EQ,2017-11-08,83.05,83.45,84.55,83.0,83.2,83.3,83.69,5729398,479466976.15,15450,3078959,53.74,83.71785714285714,86.84358343208409,80.5921308536302,83.71785714285714
TATAPOWER,EQ,2017-11-09,83.3,83.55,84.4,82.7,83.65,83.75,83.63,3733865,312249900.8,10951,1505208,40.31,83.87857142857142,86.73264120447281,81.02450165267003,83.87857142857142
TATAPOWER,EQ,2017-11-10,83.75,83.45,84.25,82.35,83.2,82.95,83.42,3201517,267063709.9,10232,1448618,45.25,83.96428571428571,86.60725274496814,81.32131868360328,83.96428571428571
TATAPOWER,EQ,2017-11-13,82.95,83.15,83.35,81.75,82.35,82.2,82.32,3917398,322497442.15,13559,1693321,43.23,83.96785714285714,86.6003777667392,81.33533651897508,83.96785714285714
TATAPOWER,EQ,2017-11-14,82.2,82.0,83.2,81.65,81.7,81.8,82.29,5252226,432205036.8,23015,2916448,55.53,83.93571428571428,86.66769822851772,81.20373034291084,83.93571428571428
TATAPOWER,EQ,2017-11-15,81.8,81.7,82.7,81.65,82.25,82.05,82.11,4310040,353910121.15,19188,2504439,58.11,83.92857142857142,86.68111271190999,81.17603014523284,83.92857142857142
TATAPOWER,EQ,2017-11-16,82.05,82.4,85.25,82.4,85.0,84.8,84.29,9687109,816553154.5,46995,3935181,40.62,83.90714285714284,86.62485035905208,81.18943535523361,83.90714285714284
TATAPOWER,EQ,2017-11-17,84.8,85.5,90.4,85.4,89.85,88.95,87.44,17486215,1528978494.2,42517,8781657,50.22,84.12142857142855,87.82666691852457,80.41619022433254,84.12142857142855
TATAPOWER,EQ,2017-11-20,88.95,89.0,92.4,89.0,91.6,91.7,91.46,22268784,2036741337.95,61120,7851130,35.26,84.60714285714285,90.10243554800485,79.11185016628085,84.60714285714285
TATAPOWER,EQ,2017-11-21,91.7,92.15,94.6,91.7,92.65,92.9,93.41,17274882,1613664650.55,64130,7453932,43.15,85.15714285714284,92.2244954397916,78.08979027449409,85.15714285714284
TATAPOWER,EQ,2017-11-22,92.9,92.75,93.4,90.45,93.25,93.05,92.15,10917988,1006075470.15,33141,3930927,36.0,85.74642857142855,93.96717758144665,77.52567956141046,85.74642857142855
TATAPOWER,EQ,2017-11-23,93.05,93.4,94.95,92.2,93.1,93.15,93.62,11289675,1056898891.45,40935,4019608,35.6,86.36428571428571,95.43752858901003,77.2910428395614,86.36428571428571
TATAPOWER,EQ,2017-11-24,93.15,93.1,94.35,92.6,93.75,93.65,93.32,6622336,618020665.9,18546,2976648,44.95,86.95,96.79487371485982,77.10512628514019,86.95
TATAPOWER,EQ,2017-11-27,93.65,93.4,95.8,92.5,95.75,95.25,94.31,11711838,1104585046.1,32220,5154482,44.01,87.82142857142857,98.31748748643338,77.32536965642376,87.82142857142857
TATAPOWER,EQ,2017-11-28,95.25,95.75,96.9,94.6,95.9,95.85,96.0,13765563,1321529401.25,43887,4405486,32.0,88.71785714285714,99.68365061043738,77.7520636752769,88.71785714285714
TATAPOWER,EQ,2017-11-29,95.85,95.7,97.1,94.5,94.6,95.05,95.96,12104211,1161545141.5,33589,4700300,38.83,89.52499999999999,100.57876719633482,78.47123280366516,89.52499999999999
TATAPOWER,EQ,2017-11-30,95.05,94.75,95.75,93.7,94.95,94.7,94.67,17098296,1618680787.0,40924,9137567,53.44,90.36428571428571,101.04557262691422,79.6829988016572,90.36428571428571
TATAPOWER,EQ,2017-12-01,94.7,94.85,95.6,89.7,90.05,90.25,92.6,7310376,676926092.1,21831,1987340,27.19,90.9392857142857,100.53930002288304,81.33927140568836,90.9392857142857
TATAPOWER,EQ,2017-12-04,90.25,91.0,91.85,89.25,90.05,89.85,90.51,4903439,443807618.2,17479,1183923,24.14,91.5142857142857,99.60135312717762,83.4272183013938,91.5142857142857
TATAPOWER,EQ,2017-12-05,89.85,89.75,89.9,88.1,88.9,88.9,88.8,4046457,359305860.05,14387,791327,19.56,92.00357142857142,98.24147841060332,85.76566444653952,92.00357142857142
TATAPOWER,EQ,2017-12-06,88.9,89.0,90.25,87.0,87.45,87.4,88.62,4891755,433504140.3,28604,1355308,27.71,92.18928571428572,97.6038215025317,86.77474992603973,92.18928571428572
TATAPOWER,EQ,2017-12-07,87.4,87.9,91.2,87.7,90.7,90.85,90.09,10031260,903705687.9,42564,2586444,25.78,92.325,97.47875143426151,87.1712485657385,92.325
TATAPOWER,EQ,2017-12-08,90.85,91.5,93.85,91.2,91.5,91.6,92.36,8248218,761804761.7,31219,2073901,25.14,92.31785714285714,97.47561562183532,87.16009866387895,92.31785714285714
TATAPOWER,EQ,2017-12-11,91.6,92.2,94.05,90.35,93.25,93.55,92.57,8217955,760705702.75,28599,2628114,31.98,92.36428571428569,97.55620674180938,87.172364686762,92.36428571428569
TATAPOWER,EQ,2017-12-12,93.55,92.85,93.0,90.15,90.7,90.55,91.43,5463807,499571258.25,16501,1613299,29.53,92.18571428571427,97.44754031731318,86.92388825411535,92.18571428571427
TATAPOWER,EQ,2017-12-13,90.55,90.55,91.65,89.9,90.3,90.25,90.48,7782576,704162732.45,19761,2303202,29.59,91.9785714285714,97.304807548834,86.65233530830879,91.9785714285714
TATAPOWER,EQ,2017-12-14,90.25,90.5,91.0,89.35,90.75,90.5,90.04,9796726,882098616.0,27960,5602960,57.19,91.75357142857139,97.04165153469593,86.46549132244685,91.75357142857139
